Item Labels,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18,Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Lowest,Highest,Month-on-Month,Year-on-Year
Agric eggs medium size,512.99,520.16,507.69,518.66,522.71,514.66,498.5,485.19,487.51,472.85,463.11,494.43,437.13,519.07,527.32,552.09,548.66,539.75,471.75,474.13,472.73,482.9,477.76,466.97,469.86,464.27,459.81,467.18,464.87,495.33,468.31,461.89,456.81,462.46,463.91,457.8,454.17,448.26,461.15,476.72,462.46,472.83,474.12,478.97,480.76,487.81,494.72,499.55,510.84,518.3,524.47,530.4,541.53,556.47,577.55,585.64,604.99,614.89,629.82,Borno (411.67),Bayelsa (800),2.43,27.31
Agric eggs(medium size price of one),47.42,42.9,43.93,46.22,45.73,45.28,44.32,42.92,45.72,42.06,40.82,41.32,38.85,41.27,41.21,42.25,41.77,41.38,41.22,41.79,41.17,41.73,42.4,42.58,42.18,42.23,41.92,41.95,42.82,39.31,38.38,40.57,41.3,40.51,41.18,40.72,40.17,39.29,39.9,41.54,40.84,42.18,42.45,42.78,42.9,43.72,44.75,45.4,46.21,47.35,48.43,49.14,49.99,51.22,52.73,53.2,54.62,55.49,57.35,Taraba (41.51),Ogun (70.06),3.35,28.15
"Beans brown,sold loose",353.6,337.11,353.28,357.19,365.86,374.26,382.35,370.25,404.84,382.58,369.78,361.97,385.53,387.48,395.34,395.19,407.73,418.78,411.02,410.16,416.07,411.05,396.73,386.78,382.76,373.91,368.07,372.84,365.32,342.82,327.18,307.27,318.99,308.93,307.3,299.48,285.61,276.3,267.81,277.05,277.49,289.89,300.26,305.43,312.66,326.88,334.66,336.24,337.09,351.68,368.98,378.82,439.22,471.24,485.44,496.03,492.13,478.76,490.19,Bauchi (234.29),Anambra (899.4),2.39,46.47
Beans:white black eye. sold loose,305.53,309.85,318.45,324.04,332.28,339.64,343.96,335.71,358.13,342.05,337.09,314.93,344.52,348.55,357.04,355.32,367.23,369.43,361.33,361.68,362.71,354.22,346.41,344.72,336.72,338.05,330.76,329.45,329.66,311.4,289.78,273.71,285.74,292,284.65,281.6,268.8,255.25,241.74,250.33,251.43,259.39,268.38,274.8,284.87,300.37,308.36,309.07,316.92,331.48,346.38,359.64,407.23,431.79,444.21,457.98,461.59,464.74,476.76,Bauchi (235.22),Ebonyi (887.77),2.59,54.61
Beef Bone in,1001.24,995.65,1010.29,1035.45,1123.65,1129.02,1128.94,1151.38,1078.49,1081.3,1065.59,1067.73,1045.55,1017.28,1024.64,980.26,1011.11,1034.57,1028.12,1061.78,1027.66,1003.35,998.67,997.73,994.2,980.54,980.12,1025.26,1023.39,1003.2,1009.69,1007.39,1021.84,1025.69,1026.24,1045.86,1031.53,1035.38,1025.48,1047.12,1053.47,1069.85,1075.68,1064.27,1070.44,1083.35,1081.17,1083.14,1091.82,1113.39,1130.8,1145.32,1173.05,1220.33,1262.1,1274.2,1320.73,1339.77,1366.24,Taraba (975.2),Abuja (1885.99),1.98,26.37
"Beef,boneless",1249.48,1270.67,1281.71,1323.1,1378.91,1393.42,1376.91,1276.85,1324.93,1312.73,1286.86,1236.44,1298.7,1274.71,1262.51,1257.73,1275.77,1271.54,1262.73,1281.02,1281.64,1260.59,1251.45,1270.81,1273.99,1254.99,1253.48,1271.1,1268.95,1240.44,1246.78,1244.23,1257.58,1281.59,1293,1292.52,1289.8,1279.6,1276.1,1307.68,1306.47,1317.04,1330.83,1339.74,1351.66,1380.14,1393.77,1405.72,1421.14,1435.87,1456.03,1481.24,1513.43,1567.26,1660.76,1698.18,1768.14,1768.78,1812.03,Gombe (1248.2),Abuja (2533.33),2.45,30.01
Bread sliced 500g,302.87,299.75,297.51,296.63,307.7,320.58,314.47,304.2,310.62,305.88,298.96,290.05,313.43,314.17,305.88,306.54,305.98,308,305.25,307.97,303.84,299.19,305.48,296.91,300.61,299.11,299.98,297.87,297.28,292.73,293.49,301.36,302.59,296.56,299.59,304.06,302.45,303.06,304.6,316.55,315,320.1,318.56,312.74,318.11,322.61,328.52,327.17,327.96,326.61,332.3,332.95,337.83,355.78,361.11,366.69,384.73,382.77,404.2,Bauchi (246.67),Abuja (605.75),5.6,23.04
Bread unsliced 500g,270.25,264.86,262.33,277.69,282.26,286.78,285.55,258.7,286.33,280.34,274.32,268.23,282.12,284.36,278.61,278.61,278.11,275.6,272.71,278.27,278.57,272.91,277.87,271.14,272.97,271.74,273.14,271.49,272.09,274.49,271.02,275.4,275.89,278.66,280.51,277.79,276.26,275.2,278.79,288.45,285.17,284.51,287.74,283.97,291.04,298.73,307.01,304.51,306.74,308.07,310.19,306.16,310.81,324.03,335.67,342.78,351.95,359.6,366.46,Plateau (238.75),Abuja (633.58),1.91,19.36
Broken Rice (Ofada),377.41,392.04,421.54,425.53,460.1,472.29,473.4,415.34,431.59,416.18,417.24,319.86,413.19,405.69,399.47,400.94,405.03,404.43,403.56,397.29,384.49,370.21,385.61,381.64,382.15,385.81,382.45,381.13,377.77,373.49,367.44,366.22,370.3,371.89,396.86,406.94,409.31,404.32,390.54,408.05,405.58,420.31,426.36,429.81,442.77,452.21,462.55,467.64,465.64,462.42,466.3,472.19,470.16,472.07,477.08,477.39,473.75,475.54,480.65,Nasarawa (301.54),Lagos (842.5),1.08,3.91
Catfish (obokun) fresh,899.58,885.13,884.15,886.65,900.73,916.55,910.57,921.17,894.52,906.94,902.02,919.82,1014.62,1037.33,1008.28,993.54,1013.11,1062.43,1064.74,1088.95,1089.25,1080.38,1112.09,1060.83,1073.51,1066.39,1065.14,1082.01,1063.03,1024.68,994.21,1008.32,1002.53,1004.38,1027.76,1043.41,1025.13,1022.84,1027.3,1048.9,1044.13,1058.9,1061.25,1056.58,1053.62,1063.5,1066.15,1068.19,1069.52,1073.34,1084.84,1097.61,1116.02,1140.68,1174.02,1204.6,1232.25,1242.54,1276.58,Yobe (731.82),Abia (2000.35),2.74,19.74
